order_id,customer_id,order_date,ship_date,ship_mode,payment_mode
58,434,04-24-22,05-01-22,Express,Net Banking
59,102,02-05-24,02-12-24,Same Day,Net Banking
60,982,10-09-23,10-10-23,Express,COD
61,982,04-18-24,04-23-24,Standard,Net Banking
62,107,12-15-24,12-19-24,Express,UPI
63,105,04-08-24,04-14-24,Express,Net Banking
64,26,10-30-24,11-04-24,Standard,Wallet
65,786,08-19-24,08-26-24,Express,UPI
66,611,05-12-24,05-18-24,Express,UPI
67,360,08-29-24,08-31-24,Same Day,Net Banking
68,304,02-15-24,02-16-24,Same Day,Wallet
69,315,04-18-22,04-21-22,Same Day,Card
70,819,03-29-24,04-03-24,Same Day,UPI
71,904,05-31-24,06-04-24,Same Day,Wallet
72,752,10-27-22,11-01-22,Express,COD
73,722,12-28-24,12-29-24,Express,UPI
74,727,10-30-22,11-02-22,Same Day,UPI
75,933,05-16-23,05-17-23,Same Day,Card
76,751,06-22-23,06-24-23,Express,Card
77,789,12-18-24,12-23-24,Express,Wallet
78,798,10-18-22,10-25-22,Standard,Card
79,908,06-18-24,06-23-24,Express,COD
80,460,11-11-22,11-18-22,Standard,Wallet
81,20,08-15-23,08-18-23,Same Day,COD
82,959,10-06-24,10-07-24,Standard,Card
83,856,01-02-22,01-06-22,Same Day,UPI
84,73,10-31-23,11-03-23,Standard,Net Banking
85,555,10-02-22,10-05-22,Same Day,UPI
86,821,09-07-22,09-14-22,Express,Wallet
87,841,10-21-22,10-25-22,Standard,Card
88,315,11-12-22,11-19-22,Standard,UPI
89,935,04-22-22,04-29-22,Express,UPI
90,449,01-08-23,01-15-23,Same Day,Wallet
91,133,11-03-23,11-10-23,Standard,COD
92,149,03-15-24,03-21-24,Same Day,Wallet
93,826,07-06-24,07-09-24,Express,Wallet
94,630,01-11-23,01-13-23,Express,Card
95,714,05-12-23,05-18-23,Standard,UPI
96,314,02-18-23,02-25-23,Standard,COD
97,759,10-24-23,10-25-23,Express,Net Banking
98,110,11-23-22,11-27-22,Standard,COD
99,166,04-03-24,04-05-24,Standard,UPI
100,931,01-14-22,01-15-22,Same Day,Net Banking
101,253,06-20-22,06-22-22,Express,UPI
102,461,04-18-24,04-24-24,Standard,UPI
103,206,03-23-24,03-26-24,Standard,Wallet
104,356,06-11-24,06-17-24,Express,Wallet
105,872,01-12-24,01-18-24,Standard,Net Banking
106,429,05-18-22,05-21-22,Express,COD
107,448,08-29-22,08-31-22,Express,Net Banking
108,885,08-02-23,08-04-23,Same Day,Net Banking
109,638,09-14-23,09-18-23,Standard,UPI
110,581,07-09-24,07-10-24,Express,Net Banking
111,265,06-10-23,06-14-23,Express,UPI
112,718,04-20-23,04-25-23,Same Day,Card
113,196,11-12-24,11-16-24,Standard,Net Banking
114,860,02-23-24,03-01-24,Express,Net Banking
115,652,09-10-22,09-15-22,Same Day,UPI
116,160,03-14-24,03-20-24,Express,Net Banking
117,295,11-20-24,11-22-24,Express,Net Banking
118,935,08-16-24,08-19-24,Same Day,Net Banking
119,944,10-12-22,10-14-22,Express,Wallet
120,727,02-02-22,02-06-22,Standard,COD
121,898,10-14-24,10-17-24,Standard,Net Banking
122,421,02-11-22,02-15-22,Same Day,Card
123,653,07-09-22,07-10-22,Standard,COD
124,425,02-08-24,02-10-24,Express,Wallet
125,444,07-19-24,07-25-24,Express,Net Banking
126,71,08-09-22,08-11-22,Express,Wallet
127,768,08-24-22,08-29-22,Express,Net Banking
128,429,12-20-23,12-25-23,Same Day,Card
129,606,05-07-23,05-13-23,Same Day,Wallet
130,257,05-22-24,05-25-24,Express,COD
131,457,10-07-24,10-13-24,Standard,Net Banking
132,678,11-12-24,11-14-24,Standard,Card
133,306,04-26-22,04-29-22,Standard,Card
134,800,04-30-23,05-04-23,Express,Net Banking
135,79,04-18-24,04-23-24,Standard,UPI
136,213,12-20-22,12-26-22,Same Day,UPI
137,942,02-18-24,02-20-24,Same Day,COD
138,146,01-11-24,01-12-24,Same Day,COD
139,128,05-26-24,05-28-24,Standard,UPI
140,36,09-24-24,09-27-24,Same Day,Net Banking
141,457,07-26-23,07-29-23,Standard,COD
142,186,01-16-23,01-20-23,Standard,Net Banking
143,827,12-13-23,12-20-23,Standard,Wallet
144,576,03-15-24,03-22-24,Standard,Card
145,689,09-14-23,09-17-23,Express,Wallet
146,829,04-29-23,05-05-23,Standard,Wallet
147,237,11-16-23,11-20-23,Same Day,COD
148,456,01-27-22,01-28-22,Same Day,Net Banking
149,512,02-01-24,02-04-24,Standard,Wallet
150,214,03-28-23,03-31-23,Same Day,COD
151,365,09-05-24,09-10-24,Same Day,Net Banking
152,11,06-19-22,06-26-22,Same Day,UPI
153,789,03-06-24,03-12-24,Same Day,COD
154,446,10-16-24,10-18-24,Same Day,Wallet
155,38,03-05-23,03-09-23,Express,Card
156,797,10-31-23,11-04-23,Standard,COD
157,705,08-22-23,08-28-23,Standard,Net Banking
158,548,02-26-23,03-01-23,Express,Wallet
159,930,01-12-23,01-18-23,Standard,COD
160,23,03-26-24,03-29-24,Standard,COD
161,198,12-15-23,12-21-23,Same Day,Card
162,750,12-21-22,12-25-22,Express,UPI
163,604,02-04-24,02-11-24,Standard,UPI
164,779,09-14-23,09-17-23,Same Day,Net Banking
165,906,07-08-23,07-14-23,Express,COD
166,675,12-05-23,12-08-23,Same Day,UPI
167,235,04-01-23,04-04-23,Express,Card
168,920,05-31-24,06-03-24,Express,UPI
169,14,09-25-23,09-28-23,Same Day,COD
170,375,10-09-22,10-11-22,Standard,COD
171,521,12-02-23,12-03-23,Standard,Net Banking
172,593,05-28-23,05-29-23,Express,Net Banking
173,539,09-17-23,09-20-23,Same Day,UPI
174,941,12-05-23,12-09-23,Same Day,COD
175,511,01-07-23,01-11-23,Express,Card
176,623,05-16-23,05-19-23,Same Day,UPI
177,909,04-28-23,04-30-23,Standard,UPI
178,537,02-08-23,02-14-23,Standard,Card
179,882,10-09-24,10-12-24,Express,COD
180,682,04-29-22,05-01-22,Same Day,Card
181,488,05-20-24,05-25-24,Standard,UPI
182,88,12-05-23,12-06-23,Express,COD
183,153,08-30-22,09-03-22,Same Day,Wallet
184,647,12-24-22,12-31-22,Standard,Wallet
185,386,11-01-22,11-08-22,Standard,COD
186,784,03-22-23,03-27-23,Express,Net Banking
187,347,06-11-22,06-15-22,Express,Card
188,990,12-06-23,12-07-23,Express,Net Banking
189,559,02-15-23,02-17-23,Same Day,UPI
190,990,07-31-24,08-07-24,Same Day,Card
191,982,07-24-22,07-27-22,Standard,UPI
192,573,01-26-23,02-02-23,Same Day,COD
193,81,01-11-24,01-17-24,Express,UPI
194,956,03-30-22,04-02-22,Same Day,Net Banking
195,277,08-05-24,08-09-24,Express,COD
196,502,02-21-22,02-23-22,Standard,UPI
197,353,02-23-23,03-02-23,Same Day,Wallet
198,998,05-20-24,05-22-24,Same Day,UPI
199,722,06-18-22,06-23-22,Same Day,UPI
200,540,09-16-22,09-17-22,Express,Net Banking
201,939,06-03-23,06-06-23,Standard,Net Banking
202,43,07-09-23,07-14-23,Express,Card
203,758,08-02-24,08-04-24,Standard,Card
204,920,10-28-22,10-29-22,Same Day,Wallet
205,499,07-07-23,07-09-23,Express,COD
206,430,01-07-22,01-11-22,Same Day,UPI
207,511,11-02-24,11-03-24,Same Day,UPI
208,140,04-09-24,04-15-24,Express,Net Banking
209,797,12-25-22,12-27-22,Same Day,Net Banking
210,898,09-27-22,10-02-22,Express,COD
211,245,06-30-23,07-01-23,Standard,Net Banking
212,101,01-16-24,01-21-24,Same Day,Wallet
213,531,11-15-24,11-17-24,Standard,Card
214,337,02-03-22,02-04-22,Standard,COD
215,49,04-13-23,04-14-23,Express,Card
216,943,03-12-22,03-13-22,Express,Net Banking
217,418,03-09-23,03-16-23,Express,Card
218,698,10-21-22,10-26-22,Same Day,Net Banking
219,44,08-21-24,08-23-24,Express,Wallet
220,343,03-04-23,03-11-23,Standard,Card
221,121,06-21-24,06-22-24,Same Day,COD
222,967,12-01-24,12-08-24,Same Day,Wallet
223,664,10-31-22,11-06-22,Standard,COD
224,592,01-15-22,01-19-22,Express,Wallet
225,338,04-20-22,04-22-22,Express,Net Banking
226,246,05-18-22,05-22-22,Same Day,Wallet
227,401,01-11-24,01-16-24,Standard,Net Banking
228,305,06-20-23,06-23-23,Same Day,UPI
229,332,06-21-24,06-22-24,Same Day,UPI
230,460,03-20-24,03-24-24,Standard,Wallet
231,38,09-03-22,09-06-22,Standard,Wallet
232,895,02-01-22,02-03-22,Standard,COD
233,332,08-10-24,08-16-24,Standard,Card
234,261,05-09-23,05-13-23,Same Day,Net Banking
235,120,06-28-24,07-02-24,Standard,Card
236,358,01-19-24,01-20-24,Same Day,Net Banking
237,435,10-25-22,10-26-22,Same Day,Card
238,829,05-21-22,05-27-22,Express,Wallet
239,913,08-27-24,09-03-24,Same Day,Card
240,603,07-24-22,07-30-22,Standard,Net Banking
241,516,04-17-24,04-19-24,Same Day,UPI
242,351,04-14-23,04-18-23,Standard,Wallet
243,451,10-28-23,10-29-23,Same Day,Card
244,991,11-26-24,11-29-24,Same Day,UPI
245,621,11-02-23,11-09-23,Standard,UPI
246,959,05-28-23,06-01-23,Same Day,Card
247,864,10-21-24,10-24-24,Standard,Net Banking
248,574,09-12-22,09-15-22,Standard,Card
249,634,09-19-23,09-24-23,Standard,Wallet
250,935,07-02-23,07-05-23,Same Day,COD
251,744,07-03-24,07-10-24,Standard,COD
252,450,06-21-23,06-27-23,Standard,Wallet
253,197,12-05-22,12-10-22,Express,Card
254,341,03-14-23,03-20-23,Standard,Net Banking
255,874,09-17-23,09-21-23,Express,Net Banking
256,374,11-13-22,11-20-22,Standard,Net Banking
257,939,05-29-23,05-31-23,Same Day,COD
258,279,02-28-23,03-04-23,Standard,Card
259,839,01-07-24,01-13-24,Express,Wallet
260,212,12-14-24,12-19-24,Standard,Card
261,789,11-20-23,11-26-23,Same Day,COD
262,728,01-05-22,01-11-22,Same Day,Net Banking
263,986,01-17-23,01-18-23,Express,UPI
264,843,03-10-23,03-11-23,Express,Wallet
265,613,10-19-24,10-22-24,Standard,COD
266,355,07-28-23,08-04-23,Same Day,UPI
267,46,08-21-22,08-26-22,Standard,Card
268,541,06-13-23,06-20-23,Standard,Wallet
269,248,05-30-24,06-01-24,Express,Wallet
270,48,11-30-23,12-04-23,Express,COD
271,669,08-29-22,09-02-22,Express,Wallet
272,104,09-01-23,09-07-23,Same Day,Card
273,281,10-26-23,10-29-23,Express,Wallet
274,798,06-27-22,06-29-22,Standard,UPI
275,589,02-22-24,02-25-24,Standard,Net Banking
276,254,11-27-23,11-30-23,Same Day,Card
277,303,11-23-24,11-28-24,Standard,Wallet
278,179,08-16-22,08-21-22,Standard,Card
279,527,01-24-24,01-29-24,Express,Card
280,480,05-08-24,05-13-24,Standard,UPI
281,89,02-02-24,02-09-24,Standard,COD
282,617,10-21-22,10-22-22,Standard,Card
283,302,09-21-22,09-24-22,Same Day,UPI
284,162,11-03-24,11-09-24,Express,Card
285,180,08-28-23,08-31-23,Standard,Net Banking
286,413,12-04-22,12-08-22,Standard,Card
287,139,09-13-23,09-17-23,Same Day,COD
288,379,05-07-23,05-11-23,Standard,Wallet
289,956,11-07-23,11-12-23,Express,UPI
290,262,08-29-22,09-03-22,Same Day,UPI
291,330,11-08-22,11-11-22,Express,UPI
292,185,07-20-22,07-21-22,Same Day,Net Banking
293,57,06-17-23,06-20-23,Standard,COD
294,356,09-13-22,09-16-22,Express,Card
295,669,07-24-24,07-28-24,Standard,COD
296,727,09-15-23,09-18-23,Same Day,UPI
297,362,10-07-23,10-08-23,Same Day,Wallet
298,883,04-06-24,04-12-24,Express,Wallet
299,281,01-13-24,01-17-24,Standard,UPI
300,87,09-17-23,09-23-23,Same Day,Card
301,42,05-31-24,06-01-24,Same Day,COD
302,936,01-05-23,01-09-23,Same Day,Wallet
303,942,07-04-22,07-06-22,Standard,UPI
304,453,10-12-22,10-18-22,Same Day,Wallet
305,53,01-03-22,01-05-22,Standard,UPI
306,798,05-01-23,05-08-23,Standard,Net Banking
307,153,12-24-24,12-31-24,Standard,Wallet
308,829,03-26-24,03-30-24,Express,UPI
309,324,04-21-23,04-27-23,Express,Wallet
310,36,09-23-24,09-30-24,Express,Net Banking
311,639,09-16-22,09-22-22,Express,Card
312,984,12-19-24,12-22-24,Same Day,UPI
313,871,09-29-24,10-04-24,Same Day,Card
314,490,01-19-22,01-22-22,Same Day,Net Banking
315,29,02-03-24,02-08-24,Same Day,Net Banking
316,481,04-03-22,04-04-22,Standard,UPI
317,239,03-30-24,04-02-24,Express,Net Banking
318,931,06-10-22,06-14-22,Same Day,Wallet
319,316,06-29-24,07-04-24,Same Day,Wallet
320,999,12-12-23,12-16-23,Same Day,Card
321,424,06-01-24,06-02-24,Standard,Wallet
322,130,12-09-23,12-15-23,Same Day,Net Banking
323,227,03-04-23,03-06-23,Standard,Card
324,411,11-30-23,12-01-23,Express,COD
325,541,04-26-22,04-27-22,Express,COD
326,745,03-08-24,03-13-24,Express,Wallet
327,466,12-14-22,12-18-22,Express,COD
328,100,04-01-24,04-02-24,Express,Wallet
329,652,10-23-23,10-25-23,Same Day,UPI
330,180,09-27-24,10-04-24,Standard,COD
331,626,01-27-24,02-02-24,Same Day,UPI
332,596,11-05-23,11-06-23,Express,COD
333,770,03-04-24,03-09-24,Standard,COD
334,338,11-08-23,11-14-23,Express,Card
335,989,12-27-22,01-03-23,Standard,Wallet
336,556,05-10-22,05-14-22,Same Day,COD
337,107,03-27-23,04-01-23,Standard,COD
338,548,03-18-23,03-22-23,Express,COD
339,27,06-04-23,06-09-23,Standard,Wallet
340,575,06-25-23,07-01-23,Same Day,COD
341,570,05-30-22,06-04-22,Same Day,Net Banking
342,776,06-10-23,06-17-23,Standard,COD
343,967,05-02-24,05-03-24,Express,COD
344,51,02-03-22,02-06-22,Same Day,UPI
345,726,04-30-23,05-05-23,Same Day,Net Banking
346,943,07-14-22,07-19-22,Express,UPI
347,261,12-26-24,01-01-25,Express,UPI
348,760,10-22-22,10-23-22,Express,Net Banking
349,949,04-29-23,05-01-23,Same Day,Wallet
350,349,07-18-23,07-23-23,Same Day,Net Banking
351,635,05-29-23,06-02-23,Same Day,Wallet
352,880,02-12-23,02-13-23,Standard,Wallet
353,818,04-28-22,04-30-22,Express,COD
354,422,01-15-23,01-19-23,Same Day,COD
355,3,05-28-24,05-30-24,Same Day,UPI
356,262,09-28-22,09-30-22,Express,Wallet
357,6,12-24-22,12-30-22,Standard,Wallet
358,19,01-17-24,01-20-24,Standard,Net Banking
359,248,06-24-23,06-26-23,Same Day,UPI
360,955,07-12-24,07-14-24,Standard,Card
361,229,08-09-22,08-11-22,Standard,Net Banking
362,446,08-20-22,08-23-22,Express,Net Banking
363,412,11-29-22,12-06-22,Express,Card
364,816,10-26-23,10-30-23,Express,Card
365,643,07-27-22,08-02-22,Standard,Net Banking
366,76,10-08-24,10-09-24,Same Day,Card
367,132,01-29-24,02-05-24,Standard,Wallet
368,484,04-24-24,04-28-24,Express,Card
369,191,05-16-24,05-20-24,Express,COD
370,919,07-15-22,07-20-22,Same Day,Card
371,229,11-04-23,11-07-23,Same Day,Card
372,707,05-23-23,05-27-23,Express,Wallet
373,552,10-09-24,10-13-24,Same Day,Card
374,354,02-21-23,02-23-23,Express,UPI
375,121,05-26-22,05-29-22,Express,Card
376,991,08-04-24,08-10-24,Same Day,Net Banking
377,74,01-04-22,01-08-22,Same Day,UPI
378,193,12-03-24,12-07-24,Standard,Wallet
379,774,09-16-22,09-18-22,Express,Net Banking
380,367,10-29-23,10-31-23,Same Day,Wallet
381,955,01-30-23,02-04-23,Express,Card
382,979,01-09-22,01-11-22,Express,Wallet
383,683,04-29-22,04-30-22,Express,UPI
384,798,08-12-22,08-13-22,Express,Wallet
385,449,05-12-24,05-18-24,Express,UPI
386,602,07-13-24,07-15-24,Standard,Card
387,585,08-09-24,08-12-24,Express,Wallet
388,295,08-16-24,08-17-24,Express,COD
389,790,02-06-22,02-07-22,Standard,Net Banking
390,428,01-09-22,01-14-22,Standard,Net Banking
391,906,07-06-22,07-13-22,Standard,COD
392,96,01-28-22,02-01-22,Same Day,Wallet
393,878,04-26-23,04-30-23,Standard,UPI
394,2,10-28-23,11-02-23,Same Day,Wallet
395,790,04-29-24,05-05-24,Same Day,Wallet
396,794,12-05-22,12-10-22,Same Day,UPI
397,769,06-18-22,06-20-22,Standard,Card
398,350,12-23-22,12-26-22,Express,UPI
399,682,12-10-23,12-14-23,Standard,Wallet
400,719,10-13-24,10-15-24,Express,Wallet
401,208,01-15-22,01-22-22,Express,Net Banking
402,462,02-26-23,03-04-23,Same Day,Card
403,869,09-26-23,09-27-23,Express,Net Banking
404,955,04-16-23,04-20-23,Same Day,Net Banking
405,100,06-07-22,06-08-22,Standard,COD
406,50,09-10-22,09-14-22,Same Day,UPI
407,38,03-07-22,03-09-22,Same Day,Card
408,636,12-19-24,12-21-24,Same Day,Net Banking
409,276,03-19-24,03-21-24,Express,Card
410,469,11-27-23,12-03-23,Standard,Net Banking
411,478,06-26-23,07-01-23,Standard,COD
412,233,03-23-23,03-28-23,Express,COD
413,1,01-21-24,01-27-24,Same Day,Wallet
414,115,09-17-22,09-18-22,Standard,Card
415,507,02-10-22,02-12-22,Standard,UPI
416,392,06-15-23,06-18-23,Standard,Net Banking
417,267,01-06-22,01-13-22,Same Day,Card
418,425,10-27-23,10-29-23,Express,COD
419,151,11-01-23,11-04-23,Standard,Wallet
420,609,09-25-23,10-01-23,Express,UPI
421,923,04-23-23,04-24-23,Express,Net Banking
422,840,02-25-23,03-04-23,Express,Card
423,465,09-08-22,09-13-22,Same Day,UPI
424,189,01-11-22,01-14-22,Same Day,Wallet
425,617,01-24-23,01-30-23,Same Day,Net Banking
426,674,12-22-24,12-23-24,Standard,Card
427,908,09-01-23,09-02-23,Standard,Card
428,119,06-28-24,07-01-24,Standard,Wallet
429,959,02-21-24,02-24-24,Standard,COD
430,119,04-09-24,04-14-24,Same Day,Net Banking
431,391,04-24-23,04-27-23,Express,UPI
432,543,05-19-24,05-26-24,Standard,Card
433,285,10-06-22,10-13-22,Standard,Card
434,875,12-10-24,12-17-24,Same Day,Card
435,976,10-07-24,10-12-24,Standard,Card
436,151,05-11-23,05-13-23,Express,UPI
437,711,08-18-24,08-21-24,Express,UPI
438,606,03-25-23,03-26-23,Same Day,UPI
439,97,02-24-22,03-02-22,Same Day,Wallet
440,792,06-14-22,06-15-22,Express,Card
441,987,05-12-24,05-17-24,Express,COD
442,434,03-21-24,03-26-24,Same Day,Wallet
443,698,11-29-22,12-06-22,Same Day,UPI
444,210,09-05-23,09-12-23,Standard,Card
445,931,03-26-24,03-30-24,Standard,Net Banking
446,754,08-19-24,08-21-24,Same Day,UPI
447,438,09-29-24,10-06-24,Express,COD
448,820,09-10-23,09-14-23,Same Day,COD
449,964,10-11-24,10-17-24,Standard,Net Banking
450,513,10-15-24,10-18-24,Standard,Net Banking
451,855,12-02-22,12-07-22,Express,COD
452,496,08-04-22,08-08-22,Standard,UPI
453,455,12-18-22,12-22-22,Express,Net Banking
454,543,10-21-24,10-24-24,Express,Net Banking
455,19,10-01-22,10-05-22,Same Day,Wallet
456,289,06-26-22,06-29-22,Standard,COD
457,761,10-17-23,10-20-23,Express,Net Banking
458,136,01-11-22,01-13-22,Standard,COD
459,339,04-06-23,04-10-23,Express,Card
460,590,06-18-24,06-23-24,Same Day,UPI
461,707,04-28-23,05-01-23,Standard,Card
462,579,12-30-24,01-04-25,Standard,COD
463,659,02-05-24,02-09-24,Express,COD
464,378,02-09-24,02-14-24,Standard,COD
465,228,11-23-24,11-25-24,Express,COD
466,761,12-31-22,01-04-23,Same Day,UPI
467,815,03-07-23,03-11-23,Standard,Net Banking
468,707,11-01-24,11-08-24,Same Day,COD
469,785,05-26-22,05-27-22,Standard,COD
470,230,10-05-24,10-12-24,Express,UPI
471,264,09-05-24,09-08-24,Standard,Net Banking
472,851,09-16-22,09-17-22,Standard,Card
473,617,10-15-24,10-22-24,Standard,Card
474,480,09-10-24,09-13-24,Standard,UPI
475,740,03-25-24,03-28-24,Same Day,Card
476,625,11-08-24,11-15-24,Express,UPI
477,874,08-20-23,08-25-23,Standard,COD
478,660,12-04-22,12-06-22,Standard,Wallet
479,977,11-14-24,11-19-24,Express,Card
480,145,08-20-24,08-21-24,Standard,Wallet
481,293,12-07-23,12-10-23,Standard,COD
482,236,08-07-24,08-08-24,Express,COD
483,263,07-10-24,07-12-24,Same Day,UPI
484,519,10-11-22,10-13-22,Standard,Net Banking
485,322,12-09-22,12-10-22,Express,COD
486,805,11-26-24,11-30-24,Standard,Card
487,978,11-10-22,11-13-22,Express,UPI
488,67,09-16-24,09-17-24,Standard,Net Banking
489,759,11-25-22,11-27-22,Standard,Card
490,332,04-27-23,04-28-23,Standard,UPI
491,364,03-06-24,03-11-24,Standard,UPI
492,553,11-22-24,11-24-24,Same Day,UPI
493,765,08-28-24,09-02-24,Express,COD
494,336,07-11-22,07-18-22,Same Day,UPI
495,109,09-04-22,09-08-22,Express,UPI
496,610,04-28-23,05-01-23,Same Day,Wallet
497,886,04-07-22,04-10-22,Express,UPI
498,614,08-26-24,08-28-24,Express,UPI
499,709,03-16-23,03-18-23,Standard,UPI
500,787,10-02-22,10-07-22,Same Day,UPI
501,997,01-21-22,01-22-22,Standard,COD
502,888,06-26-23,06-28-23,Standard,UPI
503,576,11-20-23,11-22-23,Same Day,UPI
504,201,01-07-23,01-12-23,Same Day,Net Banking
505,38,11-04-24,11-09-24,Standard,UPI
506,669,04-01-23,04-03-23,Standard,UPI
507,257,08-07-22,08-10-22,Same Day,Net Banking
508,488,03-28-24,03-31-24,Standard,Wallet
509,580,05-04-23,05-05-23,Express,UPI
510,445,01-25-24,01-31-24,Express,Wallet
511,654,02-20-24,02-25-24,Express,Card
512,861,04-18-22,04-23-22,Express,Wallet
513,731,08-27-24,08-28-24,Standard,UPI
514,322,11-05-24,11-08-24,Same Day,Wallet
515,887,10-17-24,10-24-24,Express,UPI
516,263,08-15-23,08-16-23,Standard,Wallet
517,888,03-01-22,03-06-22,Standard,Net Banking
518,365,10-20-24,10-22-24,Express,COD
519,309,10-07-22,10-14-22,Same Day,COD
520,73,05-23-23,05-26-23,Same Day,Wallet
521,877,02-20-22,02-21-22,Same Day,COD
522,453,11-22-23,11-27-23,Express,COD
523,374,11-25-22,11-29-22,Standard,UPI
524,805,07-31-24,08-05-24,Standard,UPI
525,263,03-21-23,03-26-23,Standard,COD
526,568,09-28-24,10-02-24,Same Day,Net Banking
527,530,08-18-24,08-19-24,Express,COD
528,55,03-06-22,03-10-22,Express,Net Banking
529,363,01-05-22,01-08-22,Standard,UPI
530,561,02-09-22,02-14-22,Express,COD
531,165,05-27-23,06-03-23,Standard,Net Banking
532,718,03-04-22,03-07-22,Express,Wallet
533,636,07-28-22,08-03-22,Same Day,UPI
534,463,03-15-22,03-19-22,Same Day,UPI
535,354,10-28-22,10-29-22,Standard,UPI
536,724,12-03-22,12-05-22,Same Day,UPI
537,984,07-05-23,07-09-23,Express,COD
538,887,10-22-22,10-24-22,Same Day,COD
539,66,01-16-22,01-17-22,Same Day,Wallet
540,623,06-21-24,06-22-24,Same Day,COD
541,340,01-08-23,01-15-23,Standard,Net Banking
542,871,04-05-22,04-11-22,Same Day,Card
543,108,10-19-22,10-26-22,Standard,Wallet
544,504,02-15-24,02-18-24,Standard,COD
545,855,12-21-22,12-28-22,Same Day,Card
546,335,10-05-24,10-10-24,Express,COD
547,578,03-31-23,04-04-23,Express,Net Banking
548,553,09-22-23,09-28-23,Standard,Card
549,496,11-20-22,11-23-22,Express,Net Banking
550,278,05-17-22,05-24-22,Express,UPI
551,652,07-02-23,07-09-23,Express,UPI
552,498,06-25-22,06-26-22,Standard,COD
553,973,04-09-22,04-15-22,Same Day,Net Banking
554,681,09-14-24,09-21-24,Standard,Wallet
555,713,01-10-23,01-11-23,Express,Card
556,873,09-27-23,09-30-23,Standard,Wallet
557,728,11-12-24,11-19-24,Express,Net Banking
558,971,09-21-22,09-25-22,Same Day,UPI
559,41,12-21-23,12-25-23,Express,Wallet
560,379,05-28-22,06-03-22,Standard,Net Banking
561,450,05-11-23,05-14-23,Standard,Card
562,855,07-02-23,07-05-23,Same Day,Card
563,421,06-06-23,06-07-23,Express,COD
564,897,06-07-22,06-14-22,Same Day,COD
565,559,09-30-24,10-04-24,Same Day,Net Banking
566,367,05-23-22,05-24-22,Standard,Card
567,510,12-31-24,01-01-25,Same Day,COD
568,687,04-02-23,04-09-23,Standard,COD
569,924,02-16-22,02-21-22,Same Day,COD
570,527,07-21-23,07-26-23,Standard,UPI
571,298,07-22-22,07-25-22,Standard,Wallet
572,980,10-24-24,10-25-24,Express,Card
573,876,01-16-24,01-19-24,Standard,Wallet
574,698,05-17-23,05-18-23,Same Day,Card
575,318,03-07-24,03-11-24,Same Day,COD
